Date,Time ofgreatest eclipse(Terrestrial Time),Saros,Type,Gamma,Magnitude,Centralduration(min:s),Location,Path width,Path width,Geographical area,Chart,Ref(s)
Date,Time ofgreatest eclipse(Terrestrial Time),Saros,Type,Gamma,Magnitude,Centralduration(min:s),Location,km,mi,Geographical area,Chart,Ref(s)
"July 2, 2019",19:24:08,127,Total,−0.6466,1.0459,4:33,17°24′S 109°00′W﻿ / ﻿17.4°S 109.0°W﻿ / -17.4; -109.0,201,125,"Total: Pitcairn Islands, Tuamotu Archipelago, Central Chile and ArgentinaPartial: Eastern Oceania, South America, Southern Central America",,[a][4]
"December 26, 2019",05:18:53,132,Annular,0.4135,0.9701,3:40,1°00′N 102°18′E﻿ / ﻿1.0°N 102.3°E﻿ / 1.0; 102.3,118,73,"Annular: Saudi Arabia, Qatar, United Arab Emirates, Oman, Southern India, Sri Lanka, Malaysia, Indonesia, Singapore, Northern Mariana Islands, GuamPartial: East Africa, Asia, Northern Australia",,[a][4]
"June 21, 2020",06:41:15,137,Annular,0.1209,0.994,0:38,30°30′N 79°42′E﻿ / ﻿30.5°N 79.7°E﻿ / 30.5; 79.7,21,13,"Annular: Democratic Republic of the Congo, South Sudan, Ethiopia, Eritrea, Yemen, Saudi Arabia, Oman, Pakistan, Northern India, Tibet, southern China, TaiwanPartial: Africa, Southeast Europe, Asia, Northern Australia",,[a][4]
"December 14, 2020",16:14:39,142,Total,−0.2939,1.0254,2:10,40°18′S 67°54′W﻿ / ﻿40.3°S 67.9°W﻿ / -40.3; -67.9,90,56,"Total: Southern Chile and ArgentinaPartial: Central and Southern South America, Southern Africa, Antarctica",,[a][4]
"June 10, 2021",10:43:07,147,Annular,0.9152,0.9435,3:51,80°48′N 66°48′W﻿ / ﻿80.8°N 66.8°W﻿ / 80.8; -66.8,527,327,"Annular: Ontario, Nunavut, Greenland, North Pole, Russian Far EastPartial: Northern North America, Europe, North Asia",,[a][7]
"December 4, 2021",07:34:38,152,Total,−0.9526,1.0367,1:54,76°48′S 46°12′W﻿ / ﻿76.8°S 46.2°W﻿ / -76.8; -46.2,419,260,"Total: AntarcticaPartial: Southern Africa, Antarctica, Tasmania",,[a][7]
"April 30, 2022",20:42:36,119,Partial,−1.1901,0.6396,—,62°06′S 71°30′W﻿ / ﻿62.1°S 71.5°W﻿ / -62.1; -71.5,—,—,"Partial: Southern and Central South America, Antarctica",,[a][7]
"October 25, 2022",11:01:20,124,Partial,1.0701,0.8623,—,61°36′N 77°24′E﻿ / ﻿61.6°N 77.4°E﻿ / 61.6; 77.4,—,—,"Partial: Europe, Central Asia, West Asia, South Asia, Northeast Africa",,[a][7]
"April 20, 2023",04:17:56,129,Hybrid,−0.3952,1.0132,1:16,9°36′S 125°48′E﻿ / ﻿9.6°S 125.8°E﻿ / -9.6; 125.8,49,30,"Total: Western Australia, East Timor, IndonesiaPartial: Antarctica, Australia, Oceania, Southeast Asia",,[a][7]
"October 14, 2023",18:00:41,134,Annular,0.3753,0.952,5:17,11°24′N 83°06′W﻿ / ﻿11.4°N 83.1°W﻿ / 11.4; -83.1,187,116,"Annular: Oregon, California, Nevada, Idaho, Utah, Arizona, Colorado, New Mexico, Texas, Yucatán Peninsula, Belize, Honduras, Nicaragua, Costa Rica, Panama, Colombia, BrazilPartial: North America, Central America, Caribbean, South America",,[a][7]
"April 8, 2024",18:18:29,139,Total,0.3431,1.0566,4:28,25°18′N 104°06′W﻿ / ﻿25.3°N 104.1°W﻿ / 25.3; -104.1,198,123,"Total: Mexico, Texas, Oklahoma, Arkansas, Missouri, Illinois, Indiana, Ohio, Pennsylvania, New York, Vermont, New Hampshire, Maine, Eastern CanadaPartial: Eastern Oceania, Hawaii, North America, Central America, Caribbean, Iceland, British Isles",,[a][7]
"October 2, 2024",18:46:13,144,Annular,−0.3509,0.9326,7:25,22°00′S 114°30′W﻿ / ﻿22.0°S 114.5°W﻿ / -22.0; -114.5,266,165,"Annular: Easter Island, Southern Chile, Southern ArgentinaPartial: Hawaii, Eastern Oceania, Southern and Central South America, Antarctica",,[a][7]
