Date,Time ofgreatest eclipse(Terrestrial Time),Saros,Type,Gamma,Magnitude,Centralduration(min:s),Location,Path width...9,Path width...10,Geographical area
2076-01-06,10:07:27,152,Total,−0.9373,1.0342,1:49,87°12′S 173°42′W﻿ / ﻿87.2°S 173.7°W﻿ / -87.2; -173.7,340,210,"Total: AntarcticaPartial: Southern South America, Antarctica, Southwestern Australia"
2076-06-01,17:31:22,119,Partial,−1.3897,0.2897,—,64°24′S 51°12′W﻿ / ﻿64.4°S 51.2°W﻿ / -64.4; -51.2,—,—,"Partial: Southern South America, Antarctic Peninsula"
2076-07-01,06:50:43,157,Partial,1.4005,0.2746,—,67°00′N 98°06′W﻿ / ﻿67.0°N 98.1°W﻿ / 67.0; -98.1,—,—,"Partial: Greenland, Northern Canada, Alaska, Russian Far East"
2076-11-26,11:43:01,124,Partial,1.1401,0.7315,—,63°42′N 40°06′E﻿ / ﻿63.7°N 40.1°E﻿ / 63.7; 40.1,—,—,"Partial: Africa, Europe, west Asia"
2077-05-22,02:46:05,129,Total,−0.5725,1.029,2:54,13°06′S 148°18′E﻿ / ﻿13.1°S 148.3°E﻿ / -13.1; 148.3,119,74,"Total: Australia, Papua New Guinea, Solomon IslandsPartial: Australia, Indonesia, Antarctica, Oceania"
2077-11-15,17:07:56,134,Annular,0.4705,0.9371,7:54,7°48′N 70°48′W﻿ / ﻿7.8°N 70.8°W﻿ / 7.8; -70.8,262,163,"Annular: Oregon, Washington, California, Idaho, Nevada, Utah, Colorado, Arizona, New Mexico, Texas, Yucatán Peninsula, Cuba, Colombia, Venezuela, Brazil, Guyana, Suriname, French GuianaPartial: North America, Central America, the Caribbean, South America, West Africa"
2078-05-11,17:56:55,139,Total,0.1838,1.0701,5:40,28°06′N 93°42′W﻿ / ﻿28.1°N 93.7°W﻿ / 28.1; -93.7,232,144,"Total: Kiribati, Mexico, Texas, Louisiana, Mississippi, Alabama, Florida, Georgia, South Carolina, North Carolina, Virginia, Eastern Canary IslandsPartial: Oceania, North America, Central America, Caribbean, Northern South America, Western Europe, Northwest Africa"
2078-11-04,16:55:44,144,Annular,−0.2285,0.9255,8:29,27°48′S 83°18′W﻿ / ﻿27.8°S 83.3°W﻿ / -27.8; -83.3,287,178,"Annular: Chile, Argentina, Tristan da CunhaPartial: Eastern Oceania, Mexico, Southwestern United States, Central America, South America, Antarctica"
2079-05-01,10:50:13,149,Total,0.9081,1.0512,2:55,66°12′N 46°18′W﻿ / ﻿66.2°N 46.3°W﻿ / 66.2; -46.3,406,252,"Total: Maryland, Delaware, Pennsylvania, New Jersey, New York, Connecticut, Massachusetts, Rhode Island, Vermont, New Hampshire, Maine Eastern Canada, GreenlandPartial: Eastern North America, Eastern Caribbean, Northwest Africa, Europe, Russia"
2079-10-24,18:11:21,154,Annular,−0.9243,0.9484,3:39,63°24′S 160°36′W﻿ / ﻿63.4°S 160.6°W﻿ / -63.4; -160.6,495,308,"Annular: New Zealand, AntarcticaPartial: Oceania, Antarctica, Southern South America"
