Date,Time_of_greatest_eclipse_terrestrial_time,Saros,Type,Gamma,Magnitude,Central_duration_min_s,Latitude,Longitude,Path_width_km,Path_width_miles
2064-02-17,07:00:23,141,Annular,0.3597,0.9262,8:56,7.0,69.7,295,183
2064-08-12,17:46:06,146,Total,−0.4652,1.0495,4:28,-10.9,-96.0,184,114
2065-02-05,09:52:26,151,Partial,1.0336,0.9123,—,62.2,-21.9,—,—
2065-07-03,17:33:52,118,Partial,1.4619,0.1638,—,64.8,71.9,—,—
2065-08-02,05:34:17,156,Partial,−1.2759,0.4903,—,-62.7,46.5,—,—
2065-12-27,08:39:56,123,Partial,−1.0688,0.8769,—,-65.4,-149.2,—,—
2066-06-22,19:25:48,128,Annular,0.733,0.9435,4:40,70.1,-96.4,309,192
2066-12-17,00:23:40,133,Total,−0.4043,1.0416,3:14,-47.4,175.8,152,94
2067-06-11,20:42:26,138,Annular,−0.0387,0.967,4:05,21.0,-130.2,119,74
2067-12-06,14:03:43,143,Hybrid,0.2845,1.0011,0:08,-6.0,-32.4,4,2.5
2068-05-31,03:56:39,148,Total,−0.797,1.011,1:06,-31.0,123.2,63,39
2068-11-24,21:32:30,153,Partial,1.0299,0.9109,—,68.5,-131.1,—,—
2069-04-21,10:11:09,120,Partial,1.0624,0.8992,—,71.0,-101.3,—,—
2069-05-20,17:53:18,158,Partial,−1.4852,0.0879,—,-68.8,-69.9,—,—
2069-10-15,04:19:56,125,Partial,−1.2524,0.5298,—,-71.6,-5.5,—,—
2070-04-11,02:36:09,130,Total,0.3652,1.0472,4:04,29.1,135.1,168,104
2070-10-04,07:08:57,135,Annular,−0.495,0.9731,2:44,-32.8,60.4,110,68
2071-03-31,15:01:06,140,Annular,−0.3739,0.9919,0:52,-16.7,-37.0,31,19
2071-09-23,17:20:28,145,Total,0.262,1.0333,3:11,14.2,-76.7,116,72
2072-03-19,20:10:31,150,Partial,−1.1405,0.7199,—,-72.2,-30.4,—,—
2072-09-12,08:59:20,155,Total,0.9655,1.0558,3:13,69.8,102.0,732,455
2073-02-07,01:55:59,122,Partial,1.1651,0.6768,—,70.5,114.9,—,—
2073-08-03,17:15:23,127,Total,−0.8763,1.0294,2:29,-43.2,-89.4,206,128
2074-01-27,06:44:15,132,Annular,0.4251,0.9798,2:21,6.6,78.8,79,49
2074-07-24,03:10:32,137,Annular,−0.1242,0.9838,1:57,12.8,133.7,58,36
2075-01-16,18:36:04,142,Total,−0.2799,1.0311,2:42,-37.2,-94.1,110,68
2075-07-13,06:05:44,147,Annular,0.6583,0.9467,4:45,63.1,95.2,262,163
2076-01-06,10:07:27,152,Total,−0.9373,1.0342,1:49,-87.2,-173.7,340,210
2076-06-01,17:31:22,119,Partial,−1.3897,0.2897,—,-64.4,-51.2,—,—
2076-07-01,06:50:43,157,Partial,1.4005,0.2746,—,67.0,-98.1,—,—
2076-11-26,11:43:01,124,Partial,1.1401,0.7315,—,63.7,40.1,—,—
2077-05-22,02:46:05,129,Total,−0.5725,1.029,2:54,-13.1,148.3,119,74
2077-11-15,17:07:56,134,Annular,0.4705,0.9371,7:54,7.8,-70.8,262,163
2078-05-11,17:56:55,139,Total,0.1838,1.0701,5:40,28.1,-93.7,232,144
2078-11-04,16:55:44,144,Annular,−0.2285,0.9255,8:29,-27.8,-83.3,287,178
2079-05-01,10:50:13,149,Total,0.9081,1.0512,2:55,66.2,-46.3,406,252
2079-10-24,18:11:21,154,Annular,−0.9243,0.9484,3:39,-63.4,-160.6,495,308
2080-03-21,12:20:15,121,Partial,−1.0578,0.8734,—,-60.9,85.9,—,—
2080-09-13,16:38:09,126,Partial,1.0723,0.8743,—,61.1,25.8,—,—
2081-03-10,15:23:31,131,Annular,−0.3653,0.9304,7:36,-22.4,-36.7,277,172
2081-09-03,09:07:31,136,Total,0.3378,1.072,5:33,24.6,53.6,247,153
2082-02-27,14:47:00,141,Annular,0.3361,0.9298,8:12,9.4,-47.1,277,172
2082-08-24,01:16:21,146,Total,−0.4004,1.0452,4:01,-10.3,151.8,163,101
